city,county,lat,long,state,zip
"UNION CITY",BRANCH,"+42.025271","-085.078799",MI,49094
VANDALIA,CASS,"+41.936454","-085.885793",MI,49095
VERMONTVILLE,EATON,"+42.639932","-085.004661",MI,49096
VICKSBURG,KALAMAZOO,"+42.179540","-085.473371",MI,49097
WATERVLIET,BERRIEN,"+42.161397","-086.271878",MI,49098
"WHITE PIGEON","SAINT JOSEPH","+41.859335","-085.553193",MI,49099
BARODA,BERRIEN,"+41.949647","-086.475504",MI,49101
"BERRIEN CENTER",BERRIEN,"+41.954986","-086.268100",MI,49102
"BERRIEN SPRINGS",BERRIEN,"+41.907363","-086.472582",MI,49103
BRIDGMAN,BERRIEN,"+41.942151","-086.544561",MI,49106
BUCHANAN,BERRIEN,"+41.841369","-086.429249",MI,49107
"EAU CLAIRE",BERRIEN,"+42.027591","-086.299153",MI,49111
EDWARDSBURG,CASS,"+41.807011","-085.997234",MI,49112
GALIEN,BERRIEN,"+41.811460","-086.499237",MI,49113
HARBERT,BERRIEN,"+41.877103","-086.630243",MI,49115
LAKESIDE,BERRIEN,"+41.833625","-086.662174",MI,49116
"NEW BUFFALO",BERRIEN,"+41.792730","-086.746022",MI,49117
"NEW TROY",BERRIEN,"+41.868746","-086.547369",MI,49119
NILES,BERRIEN,"+41.844732","-086.421005",MI,49120
SAWYER,BERRIEN,"+41.899733","-086.571325",MI,49125
SODUS,BERRIEN,"+42.029487","-086.378199",MI,49126
STEVENSVILLE,BERRIEN,"+42.007430","-086.508146",MI,49127
"THREE OAKS",BERRIEN,"+41.827553","-086.600498",MI,49128
"UNION PIER",BERRIEN,"+41.825532","-086.684816",MI,49129
UNION,CASS,"+41.800617","-085.866011",MI,49130
JACKSON,JACKSON,"+42.248979","-084.421104",MI,49201
ADDISON,LENAWEE,"+41.985346","-084.314543",MI,49220
ADRIAN,LENAWEE,"+41.889943","-084.065892",MI,49221
ALBION,CALHOUN,"+42.290600","-084.792885",MI,49224
ALLEN,HILLSDALE,"+41.956346","-084.767913",MI,49227
BLISSFIELD,LENAWEE,"+41.852645","-083.873899",MI,49228
BRITTON,LENAWEE,"+41.997944","-083.857925",MI,49229
BROOKLYN,JACKSON,"+42.160388","-084.388821",MI,49230
CAMDEN,HILLSDALE,"+41.747377","-084.638542",MI,49232
"CEMENT CITY",LENAWEE,"+42.048091","-084.315009",MI,49233
CLARKLAKE,JACKSON,"+42.119607","-084.369085",MI,49234
CLAYTON,LENAWEE,"+41.930577","-084.156209",MI,49235
CLINTON,LENAWEE,"+42.061881","-083.957586",MI,49236
CONCORD,JACKSON,"+42.186022","-084.641897",MI,49237
DEERFIELD,LENAWEE,"+41.900279","-083.817849",MI,49238
FRONTIER,HILLSDALE,"+41.782499","-084.604662",MI,49239
"GRASS LAKE",JACKSON,"+42.258533","-084.344285",MI,49240
HANOVER,JACKSON,"+42.111258","-084.601588",MI,49241
HILLSDALE,HILLSDALE,"+41.853903","-084.582913",MI,49242
HOMER,CALHOUN,"+42.144355","-084.848182",MI,49245
HORTON,JACKSON,"+42.131129","-084.479081",MI,49246
HUDSON,LENAWEE,"+41.870383","-084.095955",MI,49247
JASPER,LENAWEE,"+41.770362","-084.001125",MI,49248
JEROME,HILLSDALE,"+42.029587","-084.468662",MI,49249
JONESVILLE,HILLSDALE,"+41.898745","-084.585577",MI,49250
LESLIE,INGHAM,"+42.478186","-084.407118",MI,49251
LITCHFIELD,HILLSDALE,"+42.029101","-084.619228",MI,49252
"MANITOU BEACH",LENAWEE,"+41.970384","-084.270369",MI,49253
"MICHIGAN CENTER",JACKSON,"+42.208747","-084.465922",MI,49254
MONTGOMERY,BRANCH,"+41.792652","-084.900917",MI,49255
MORENCI,LENAWEE,"+41.847360","-084.229012",MI,49256
MOSCOW,HILLSDALE,"+42.054795","-084.503905",MI,49257
MOSHERVILLE,HILLSDALE,"+41.884795","-084.593491",MI,49258
MUNITH,JACKSON,"+42.360385","-084.233087",MI,49259
NAPOLEON,JACKSON,"+42.164338","-084.245750",MI,49261
"NORTH ADAMS",HILLSDALE,"+41.963943","-084.473084",MI,49262
NORVELL,JACKSON,"+42.158189","-084.183828",MI,49263
ONONDAGA,INGHAM,"+42.472836","-084.541672",MI,49264
ONSTED,LENAWEE,"+42.007537","-084.182082",MI,49265
OSSEO,HILLSDALE,"+41.832935","-084.548539",MI,49266
"OTTAWA LAKE",MONROE,"+41.772724","-083.704835",MI,49267
PALMYRA,LENAWEE,"+41.869570","-083.920024",MI,49268
PARMA,JACKSON,"+42.257902","-084.580681",MI,49269
PETERSBURG,MONROE,"+41.865026","-083.670689",MI,49270
PITTSFORD,HILLSDALE,"+41.854948","-084.452585",MI,49271
"PLEASANT LAKE",JACKSON,"+42.387785","-084.347636",MI,49272
READING,HILLSDALE,"+41.846897","-084.728441",MI,49274
RIDGEWAY,LENAWEE,"+41.988026","-083.865674",MI,49275
RIGA,LENAWEE,"+41.791518","-083.814189",MI,49276
"RIVES JUNCTION",JACKSON,"+42.384636","-084.465133",MI,49277
ROLLIN,LENAWEE,"+41.912292","-084.326520",MI,49278
"SAND CREEK",LENAWEE,"+41.775793","-084.112125",MI,49279
SENECA,LENAWEE,"+41.795830","-084.186608",MI,49280
SOMERSET,HILLSDALE,"+42.023026","-084.379391",MI,49281
"SOMERSET CENTER",HILLSDALE,"+42.050199","-084.392191",MI,49282
"SPRING ARBOR",JACKSON,"+42.272863","-084.605612",MI,49283
SPRINGPORT,JACKSON,"+42.378230","-084.630106",MI,49284
STOCKBRIDGE,INGHAM,"+42.496734","-084.243060",MI,49285
TECUMSEH,LENAWEE,"+42.008398","-083.922214",MI,49286
TIPTON,LENAWEE,"+42.021720","-084.064971",MI,49287
WALDRON,HILLSDALE,"+41.743114","-084.447488",MI,49288
WESTON,LENAWEE,"+41.768254","-084.107609",MI,49289
ADA,KENT,"+42.963833","-085.482266",MI,49301
ALTO,KENT,"+42.856096","-085.402859",MI,49302
BAILEY,MUSKEGON,"+43.272182","-085.854471",MI,49303
BALDWIN,LAKE,"+43.929225","-085.840774",MI,49304
BARRYTON,MECOSTA,"+43.737488","-085.166327",MI,49305
BELMONT,KENT,"+43.074996","-085.563211",MI,49306
"BIG RAPIDS",MECOSTA,"+43.683493","-085.351800",MI,49307
BITELY,NEWAYGO,"+43.712217","-085.860379",MI,49309
BLANCHARD,ISABELLA,"+43.552836","-084.966988",MI,49310
BRADLEY,ALLEGAN,"+42.633006","-085.643043",MI,49311
BROHMAN,NEWAYGO,"+43.666006","-085.791055",MI,49312
BURNIPS,ALLEGAN,"+42.731193","-085.840372",MI,49314
"BYRON CENTER",KENT,"+42.835828","-085.664425",MI,49315
CALEDONIA,KENT,"+42.818680","-085.524437",MI,49316
CANNONSBURG,KENT,"+43.071201","-085.480856",MI,49317
CASNOVIA,MUSKEGON,"+43.234658","-085.840115",MI,49318
"CEDAR SPRINGS",KENT,"+43.175953","-085.514105",MI,49319
"CHIPPEWA LAKE",MECOSTA,"+43.755335","-085.278303",MI,49320
"COMSTOCK PARK",KENT,"+43.081164","-085.679652",MI,49321
CORAL,MONTCALM,"+43.359517","-085.353161",MI,49322
DORR,ALLEGAN,"+42.721585","-085.788666",MI,49323
FREEPORT,BARRY,"+42.738867","-085.364444",MI,49325
GOWEN,MONTCALM,"+43.310955","-085.210720",MI,49326
GRANT,NEWAYGO,"+43.539032","-085.850409",MI,49327
HOPKINS,ALLEGAN,"+42.623664","-085.780339",MI,49328
"HOWARD CITY",MONTCALM,"+43.382007","-085.442836",MI,49329
"KENT CITY",KENT,"+43.235060","-085.670248",MI,49330
LOWELL,KENT,"+42.969378","-085.384134",MI,49331
MECOSTA,MECOSTA,"+43.600770","-085.313290",MI,49332
MIDDLEVILLE,BARRY,"+42.670351","-085.427281",MI,49333
MOLINE,ALLEGAN,"+42.736987","-085.663538",MI,49335
MORLEY,MECOSTA,"+43.521990","-085.423262",MI,49336
NEWAYGO,NEWAYGO,"+43.444927","-085.738980",MI,49337
PARIS,MECOSTA,"+43.727770","-085.365385",MI,49338
PIERSON,MONTCALM,"+43.368549","-085.473124",MI,49339
REMUS,MECOSTA,"+43.637851","-085.198945",MI,49340
ROCKFORD,KENT,"+43.132429","-085.551631",MI,49341
RODNEY,MECOSTA,"+43.691187","-085.318534",MI,49342
"SAND LAKE",KENT,"+43.258296","-085.504509",MI,49343
SHELBYVILLE,ALLEGAN,"+42.612772","-085.612828",MI,49344
SPARTA,KENT,"+43.157685","-085.683555",MI,49345
STANWOOD,MECOSTA,"+43.590861","-085.403676",MI,49346
TRUFANT,MONTCALM,"+43.330898","-085.414422",MI,49347
WAYLAND,ALLEGAN,"+42.685065","-085.642406",MI,49348
"WHITE CLOUD",NEWAYGO,"+43.611483","-085.797989",MI,49349
ALLENDALE,OTTAWA,"+42.979522","-085.939270",MI,49401
BRANCH,LAKE,"+43.967633","-085.980028",MI,49402
CONKLIN,OTTAWA,"+43.118172","-085.848391",MI,49403
COOPERSVILLE,OTTAWA,"+43.062122","-085.959758",MI,49404
CUSTER,MASON,"+43.932434","-086.177683",MI,49405
DOUGLAS,ALLEGAN,"+42.636883","-086.202158",MI,49406
FENNVILLE,ALLEGAN,"+42.542809","-086.118490",MI,49408
FERRYSBURG,OTTAWA,"+43.080865","-086.215413",MI,49409
FOUNTAIN,MASON,"+44.030126","-086.142483",MI,49410
"FREE SOIL",MASON,"+44.071924","-086.252729",MI,49411
FREMONT,NEWAYGO,"+43.513456","-085.913200",MI,49412
FRUITPORT,MUSKEGON,"+43.275502","-086.076550",MI,49415
GLENN,ALLEGAN,"+42.630533","-086.072032",MI,49416
"GRAND HAVEN",OTTAWA,"+43.008786","-086.129031",MI,49417
GRANDVILLE,KENT,"+42.882726","-085.753056",MI,49418
HAMILTON,ALLEGAN,"+42.693859","-085.980959",MI,49419
HART,OCEANA,"+43.700968","-086.334122",MI,49420
HESPERIA,OCEANA,"+43.574326","-086.223175",MI,49421
HOLLAND,OTTAWA,"+42.985596","-086.444751",MI,49422
HOLTON,MUSKEGON,"+43.417206","-086.130268",MI,49425
HUDSONVILLE,OTTAWA,"+42.861575","-085.935917",MI,49426
JAMESTOWN,OTTAWA,"+42.826676","-085.844378",MI,49427
JENISON,OTTAWA,"+42.918544","-085.842586",MI,49428
LAMONT,OTTAWA,"+43.010337","-085.897540",MI,49430
LUDINGTON,MASON,"+43.998926","-086.349439",MI,49431
MACATAWA,OTTAWA,"+42.769730","-086.205471",MI,49434
MARNE,OTTAWA,"+43.023673","-085.844039",MI,49435
MEARS,OCEANA,"+43.681533","-086.468975",MI,49436
MONTAGUE,MUSKEGON,"+43.424040","-086.339517",MI,49437
MUSKEGON,MUSKEGON,"+43.233764","-086.232858",MI,49440
"NEW ERA",OCEANA,"+43.536651","-086.322856",MI,49446
NUNICA,OTTAWA,"+43.080186","-086.068544",MI,49448
PENTWATER,OCEANA,"+43.728586","-086.291994",MI,49449
PULLMAN,ALLEGAN,"+42.483692","-086.066530",MI,49450
RAVENNA,MUSKEGON,"+43.205960","-085.968106",MI,49451
ROTHBURY,OCEANA,"+43.626346","-086.233687",MI,49452
SAUGATUCK,ALLEGAN,"+42.645611","-086.165451",MI,49453
SCOTTVILLE,MASON,"+43.940385","-086.263510",MI,49454
SHELBY,OCEANA,"+43.638343","-086.349283",MI,49455
"SPRING LAKE",OTTAWA,"+43.076609","-086.195380",MI,49456
"TWIN LAKE",MUSKEGON,"+43.358015","-086.157722",MI,49457
WALHALLA,MASON,"+43.949422","-086.104210",MI,49458
WALKERVILLE,OCEANA,"+43.721873","-086.141107",MI,49459
"WEST OLIVE",OTTAWA,"+42.929518","-086.095232",MI,49460
WHITEHALL,MUSKEGON,"+43.345831","-086.327092",MI,49461
WABANINGO,MUSKEGON,"+43.295493","-086.468853",MI,49463
ZEELAND,OTTAWA,"+42.869816","-085.969722",MI,49464
"GRAND RAPIDS",KENT,"+42.984226","-085.629101",MI,49501
CADILLAC,WEXFORD,"+44.335278","-085.549093",MI,49601
ACME,"GRAND TRAVERSE","+44.789382","-085.488449",MI,49610
ALBA,ANTRIM,"+44.983262","-084.961776",MI,49611
ALDEN,ANTRIM,"+44.900641","-085.232932",MI,49612
ARCADIA,MANISTEE,"+44.478837","-086.209391",MI,49613
"BEAR LAKE",MANISTEE,"+44.396671","-086.116727",MI,49614
BELLAIRE,ANTRIM,"+44.997248","-085.198742",MI,49615
BENZONIA,BENZIE,"+44.574478","-086.079370",MI,49616
BEULAH,BENZIE,"+44.630634","-086.002509",MI,49617
BOON,WEXFORD,"+44.289721","-085.675458",MI,49618
BRETHREN,MANISTEE,"+44.309195","-085.972541",MI,49619
BUCKLEY,WEXFORD,"+44.465123","-085.681485",MI,49620
CEDAR,LEELANAU,"+44.860517","-085.813768",MI,49621
"CENTRAL LAKE",ANTRIM,"+45.075986","-085.255910",MI,49622
CHASE,LAKE,"+43.952170","-085.672695",MI,49623
COPEMISH,MANISTEE,"+44.427570","-086.028192",MI,49625
EASTLAKE,MANISTEE,"+44.241337","-086.291309",MI,49626
EASTPORT,ANTRIM,"+45.088060","-085.321900",MI,49627
ELBERTA,BENZIE,"+44.599526","-086.214070",MI,49628
"ELK RAPIDS",ANTRIM,"+44.929020","-085.319467",MI,49629
EMPIRE,LEELANAU,"+44.837888","-085.976477",MI,49630
EVART,OSCEOLA,"+43.958084","-085.302063",MI,49631
FALMOUTH,MISSAUKEE,"+44.242162","-085.043655",MI,49632
"FIFE LAKE","GRAND TRAVERSE","+44.584533","-085.393948",MI,49633
"FILER CITY",MANISTEE,"+44.238191","-086.057975",MI,49634
FRANKFORT,BENZIE,"+44.613058","-086.177255",MI,49635
"GLEN ARBOR",LEELANAU,"+44.873421","-085.988670",MI,49636
GRAWN,"GRAND TRAVERSE","+44.634126","-085.703494",MI,49637
HARRIETTA,WEXFORD,"+44.280319","-085.710694",MI,49638
HERSEY,OSCEOLA,"+43.981883","-085.360457",MI,49639
HONOR,BENZIE,"+44.690037","-086.050384",MI,49640
IDLEWILD,LAKE,"+43.887179","-085.775872",MI,49642
INTERLOCHEN,"GRAND TRAVERSE","+44.633562","-085.782278",MI,49643
IRONS,LAKE,"+44.091983","-085.906580",MI,49644
KALEVA,MANISTEE,"+44.377928","-086.041189",MI,49645
KALKASKA,KALKASKA,"+44.697144","-085.092905",MI,49646
KEWADIN,ANTRIM,"+45.006971","-085.355394",MI,49648
KINGSLEY,"GRAND TRAVERSE","+44.577555","-085.530156",MI,49649
"LAKE ANN",BENZIE,"+44.722002","-085.882364",MI,49650
"LAKE CITY",MISSAUKEE,"+44.376692","-085.094600",MI,49651
"LAKE LEELANAU",LEELANAU,"+44.980451","-085.736199",MI,49653
LELAND,LEELANAU,"+44.989416","-085.770227",MI,49654
LEROY,OSCEOLA,"+44.013375","-085.325480",MI,49655
LUTHER,LAKE,"+44.042060","-085.712873",MI,49656
"MC BAIN",MISSAUKEE,"+44.258292","-085.154382",MI,49657
MANCELONA,ANTRIM,"+44.947938","-085.122624",MI,49659
MANISTEE,MANISTEE,"+44.263534","-086.182473",MI,49660
MANTON,WEXFORD,"+44.412765","-085.468268",MI,49663
"MAPLE CITY",LEELANAU,"+44.869321","-085.902284",MI,49664
MARION,OSCEOLA,"+43.989936","-085.271121",MI,49665
MAYFIELD,"GRAND TRAVERSE","+44.625041","-085.542496",MI,49666
MERRITT,MISSAUKEE,"+44.343261","-084.944639",MI,49667
MESICK,WEXFORD,"+44.399120","-085.629669",MI,49668
NORTHPORT,LEELANAU,"+45.122160","-085.618470",MI,49670
"OLD MISSION","GRAND TRAVERSE","+44.955872","-085.490005",MI,49673
OMENA,LEELANAU,"+45.066568","-085.597374",MI,49674
ONEKAMA,MANISTEE,"+44.418184","-086.222187",MI,49675
"RAPID CITY",KALKASKA,"+44.803890","-085.250629",MI,49676
"REED CITY",OSCEOLA,"+43.952029","-085.414718",MI,49677
SEARS,OSCEOLA,"+43.963767","-085.187258",MI,49679
"SOUTH BOARDMAN",KALKASKA,"+44.634438","-085.252891",MI,49680
"SUTTONS BAY",LEELANAU,"+44.988569","-085.644068",MI,49682
THOMPSONVILLE,BENZIE,"+44.586780","-085.931969",MI,49683
"TRAVERSE CITY","GRAND TRAVERSE","+44.693963","-085.676342",MI,49684
TUSTIN,OSCEOLA,"+44.112055","-085.405091",MI,49688
WELLSTON,MANISTEE,"+44.330169","-086.027194",MI,49689
WILLIAMSBURG,"GRAND TRAVERSE","+44.767181","-085.427605",MI,49690
"MACKINAW CITY",CHEBOYGAN,"+45.753019","-084.691745",MI,49701
AFTON,CHEBOYGAN,"+45.366479","-084.429893",MI,49705
ALANSON,EMMET,"+45.539802","-084.805792",MI,49706
ALPENA,ALPENA,"+45.033143","-083.495091",MI,49707
ATLANTA,MONTMORENCY,"+45.030626","-084.173067",MI,49709
BARBEAU,CHIPPEWA,"+46.278437","-084.196899",MI,49710
"BAY SHORE",CHARLEVOIX,"+45.523425","-085.332038",MI,49711
"BOYNE CITY",CHARLEVOIX,"+45.226478","-085.016896",MI,49712
"BOYNE FALLS",CHARLEVOIX,"+45.203875","-084.848126",MI,49713
BRIMLEY,CHIPPEWA,"+46.389131","-084.698136",MI,49715
BRUTUS,CHEBOYGAN,"+45.506991","-084.703893",MI,49716
"BURT LAKE",CHEBOYGAN,"+45.430705","-084.691207",MI,49717
"CARP LAKE",EMMET,"+45.596260","-084.851386",MI,49718
CEDARVILLE,MACKINAC,"+46.007211","-084.276199",MI,49719
CHARLEVOIX,CHARLEVOIX,"+45.265360","-085.229723",MI,49720
CHEBOYGAN,CHEBOYGAN,"+45.592842","-084.468639",MI,49721
CONWAY,EMMET,"+45.423616","-084.852401",MI,49722
"CROSS VILLAGE",EMMET,"+45.625353","-085.041872",MI,49723
DAFTER,CHIPPEWA,"+46.311604","-084.617131",MI,49724
"DE TOUR VILLAGE",CHIPPEWA,"+45.997182","-083.923941",MI,49725
"DRUMMOND ISLAND",CHIPPEWA,"+46.011531","-083.692502",MI,49726
"EAST JORDAN",CHARLEVOIX,"+45.203995","-085.102843",MI,49727
ECKERMAN,CHIPPEWA,"+46.536871","-084.862889",MI,49728
ELLSWORTH,ANTRIM,"+45.156457","-085.303853",MI,49729
ELMIRA,OTSEGO,"+45.023960","-084.755439",MI,49730
FREDERIC,CRAWFORD,"+44.786738","-084.697844",MI,49733
GAYLORD,OTSEGO,"+45.028411","-084.612207",MI,49734
GOETZVILLE,CHIPPEWA,"+46.078984","-084.144989",MI,49736
"GOOD HART",EMMET,"+45.580183","-085.113678",MI,49737
GRAYLING,CRAWFORD,"+44.691777","-084.612941",MI,49738
"HARBOR SPRINGS",EMMET,"+45.554230","-084.925826",MI,49740
HAWKS,"PRESQUE ISLE","+45.283467","-083.873719",MI,49743
HERRON,ALPENA,"+44.996329","-083.667641",MI,49744
HESSEL,MACKINAC,"+46.021715","-084.428450",MI,49745
HILLMAN,MONTMORENCY,"+45.059580","-084.022691",MI,49746
"HUBBARD LAKE",ALPENA,"+44.909723","-083.608911",MI,49747
HULBERT,CHIPPEWA,"+46.390752","-085.176386",MI,49748
"INDIAN RIVER",CHEBOYGAN,"+45.447209","-084.578019",MI,49749
JOHANNESBURG,OTSEGO,"+44.963223","-084.505983",MI,49751
KINROSS,CHIPPEWA,"+46.259604","-084.647332",MI,49752
LACHINE,ALPENA,"+45.013075","-083.761958",MI,49753
LEVERING,EMMET,"+45.592565","-084.863230",MI,49755
